ticker,name,market
462310.KS,뉴키즈온,코스피
234030.KS,싸이닉솔루션,코스피
463020.KS,뉴엔AI,코스피
388610.KS,지에프씨생명과학,코스피
455180.KS,케이지에이,코스피
340450.KS,지씨지놈,코스피
474650.KS,링크솔루션,코스피
475430.KS,키스트론,코스피
496070.KS,신한제16호스팩,코스피
287840.KS,인투셀,코스피
483650.KS,달바글로벌,코스피
489460.KS,바이오비쥬,코스피
424870.KS,이뮨온시아,코스피
188040.KS,바이오포트,코스피
125020.KS,티씨머티리얼즈,코스피
376900.KS,로킷헬스케어,코스피
476040.KS,오가노이드사이언스,코스피
136150.KS,원일티엔아이,코스피
459510.KS,나우로보틱스,코스피
364950.KS,에이아이코리아,코스피
448900.KS,한국피아이엠,코스피
481070.KS,에이유브랜즈,코스피
101970.KS,우양에이치씨,코스피
462860.KS,더즌,코스피
444530.KS,심플랫폼,코스피
484810.KS,티엑스알로보틱스,코스피
498390.KS,한화플러스제5호스팩,코스피
480370.KS,씨케이솔루션,코스피
460870.KS,에스엠씨지,코스피
226590.KS,엠디바이스,코스피
393970.KS,대진첨단소재,코스피
435570.KS,에르코스,코스피
489500.KS,엘케이켐,코스피
479960.KS,위너스,코스피
463480.KS,모티브링크,코스피
303810.KS,동국생명과학,코스피
475830.KS,오름테라퓨틱,코스피
240550.KS,동방메디컬,코스피
212710.KS,아이에스티이,코스피
462980.KS,아이지넷,코스피
452450.KS,피아이이,코스피
482630.KS,삼양엔씨켐,코스피
373160.KS,데이원컴퍼니,코스피
450950.KS,아스테라시스,코스피
475460.KS,미트박스,코스피
493790.KS,유안타제17호스팩,코스피
478560.KS,블랙야크아이앤씨,코스피
332190.KS,오션스바이오,코스피
432980.KS,엠에프씨,코스피
387570.KS,파인메딕스,코스피
177900.KS,쓰리에이로직스,코스피
499790.KS,GS피앤엘,코스피
487360.KS,신한제14호스팩,코스피
495810.KS,유비씨,코스피
368030.KS,창대정밀,코스피
176750.KS,듀켐바이오,코스피
487720.KS,키움제10호스팩,코스피
398120.KS,에스지헬스케어,코스피
476060.KS,온코닉테라퓨틱스,코스피
382150.KS,온코크로스,코스피
457600.KS,벡트,코스피
484870.KS,엠앤씨솔루션,코스피
471820.KS,셀로맥스사이언스,코스피
495900.KS,에이엠시지,코스피
492220.KS,KB제31호스팩,코스피
489480.KS,키움제11호스팩,코스피
415640.KS,KB발해인프라,코스피
489730.KS,디비금융제13호스팩,코스피
489210.KS,교보17호스팩,코스피
482690.KS,대신밸런스제19호스팩,코스피
459100.KS,위츠,코스피
389680.KS,유디엠텍,코스피
474610.KS,RF시스템즈,코스피
466410.KS,사이냅소프트,코스피
484130.KS,하나34호스팩,코스피
475660.KS,에스켐,코스피
413390.KS,엠오티,코스피
487830.KS,신한제15호스팩,코스피
394800.KS,쓰리빌리언,코스피
464580.KS,닷밀,코스피
473980.KS,노머스,코스피
163280.KS,에어레인,코스피
475960.KS,토모큐브,코스피
475560.KS,더본코리아,코스피
376270.KS,에이치이엠파마,코스피
475580.KS,에이럭스,코스피
336680.KS,탑런토탈솔루션,코스피
458650.KS,성우,코스피
488060.KS,유진스팩11호,코스피
476710.KS,타조엔터테인먼트,코스피
466100.KS,클로봇,코스피
289930.KS,웨이비스,코스피
475400.KS,씨메스,코스피
457370.KS,한켐,코스피
474170.KS,루미르,코스피
209640.KS,와이제이링크,코스피
465480.KS,인스피언,코스피
308430.KS,셀비온,코스피
381620.KS,제닉스,코스피
351870.KS,차이커뮤니케이션,코스피
489790.KS,한화비전,코스피
486630.KS,KB제30호스팩,코스피
464500.KS,아이언디바이스,코스피
482680.KS,미래에셋비전스팩7호,코스피
469750.KS,아이비젼웍스,코스피
461300.KS,아이스크림미디어,코스피
456070.KS,이엔셀,코스피
476080.KS,M83,코스피
478780.KS,대신밸런스제18호스팩,코스피
464280.KS,티디에스팜,코스피
389650.KS,넥스트바이오메디컬,코스피
431190.KS,케이쓰리아이,코스피
482520.KS,교보16호스팩,코스피
199480.KS,뱅크웨어글로벌,코스피
460470.KS,아이빔테크놀로지,코스피
460940.KS,피앤에스로보틱스,코스피
487570.KS,HS효성,코스피
481890.KS,엔에이치스팩31호,코스피
473950.KS,SK증권제13호스팩,코스피
373110.KS,엑셀세라퓨틱스,코스피
478110.KS,이베스트스팩6호,코스피
462870.KS,시프트업,코스피
450330.KS,하스,코스피
462350.KS,이노스페이스,코스피
481850.KS,신한글로벌액티브리츠,코스피
295310.KS,에이치브이엠,코스피
266350.KS,팡스카이,코스피
160190.KS,하이젠알앤엠,코스피
479880.KS,한국제15호스팩,코스피
464080.KS,에스오에스랩,코스피
478440.KS,미래에셋비전스팩6호,코스피
477340.KS,에이치엠씨제7호스팩,코스피
107640.KS,한중엔시에스,코스피
478390.KS,KB제29호스팩,코스피
477470.KS,미래에셋비전스팩5호,코스피
458870.KS,씨어스테크놀로지,코스피
477760.KS,디비금융스팩12호,코스피
462510.KS,라메디텍,코스피
453450.KS,그리드위즈,코스피
323350.KS,다원넥스뷰,코스피
477380.KS,미래에셋비전스팩4호,코스피
145170.KS,노브랜드,코스피
456010.KS,아이씨티케이,코스피
443060.KS,HD현대마린솔루션,코스피
473000.KS,SK증권제12호스팩,코스피
126730.KS,코칩,코스피
452200.KS,민테크,코스피
140430.KS,카티스,코스피
347850.KS,디앤디파마텍,코스피
474490.KS,유안타제16호스팩,코스피
412540.KS,제일엠앤에스,코스피
451250.KS,삐아,코스피
475250.KS,하나33호스팩,코스피
474930.KS,신한제13호스팩,코스피
474660.KS,신한제12호스팩,코스피
461030.KS,아이엠비디엑스,코스피
475150.KS,SK이터닉스,코스피
475240.KS,하나32호스팩,코스피
455900.KS,엔젤로보틱스,코스피
420570.KS,제이투케이바이오,코스피
437730.KS,삼현,코스피
